0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
-0.22532272,0.10844969,-0.115774736,-0.28038323,-0.768959,-0.39655712,-0.320303,-0.47749734,-0.3099413,-0.2652602,-0.98531437,0.0993355,-0.089596204,-0.53377336,-0.61645174,-0.2988862,-0.55693054,0.22999878,0.05809938,-0.108252786,-0.46247923,-0.66033876,-0.39356914,0.18978402,0.30911058,-0.3204668,-0.4401633,-0.3758899,-0.731749,-0.934335,0.09205364,-0.1639808,-0.2519866,-0.37774086,-0.20989947,-0.20634097,0.20689514,-0.29956472,-0.30190194,-0.24063365,0.005646061,-0.19173083,-0.12347737,0.25698224,-0.18787588,0.05735538,-0.55916464,-0.6789956,-0.7867088,-0.28304353,-0.49554613,0.1940563,-0.4688749,-0.15242901,-0.10322101,-0.42771024,0.39100826,-0.794589,-0.117366776,-0.17411354,-0.16675168,-0.0049199685,-0.30457073,-0.11998899,0.18840173,-0.19997574,0.040958837,-0.112175204,0.0018823184,0.3776015,-0.15185618,-0.49206176,-0.21164484,0.026385501,0.10529214,-0.4195912,-0.08421849,-0.014820248,-0.11779361,-0.146972,-0.78932256,-0.029332243,-0.32225028,0.41300255
-0.08336751,-0.4949114,0.39188355,0.37501195,-0.2425174,-0.17682481,-0.1372496,0.5227222,-0.49543315,-8.999929e-05,0.102607675,-0.074958354,-0.05824462,-0.028714444,-0.23363748,-0.31126192,-0.14768888,-0.04775569,-0.33862,-0.05018176,-0.33892146,-0.15164916,-0.47230193,0.31665903,-0.3667701,-0.2546976,0.056476146,0.08104378,0.28912678,0.2814595,-0.14361389,-0.26378673,-0.26066765,-0.036599427,0.3408247,-0.27257386,0.31537616,0.017650988,0.04837451,0.0878336,-0.6057141,0.6089081,0.13865446,-0.017542016,0.18834095,-0.07564561,0.16413099,0.2890611,-0.120136306,0.2614456,0.16632521,-0.09092255,-0.048035163,-0.20273711,0.17039122,0.030391846,-0.48701566,-0.47728813,0.21680388,-0.26221806,-0.23339635,0.45321628,0.06767932,0.1876729,0.15435609,0.34936723,0.028796814,0.2984045,-0.097755454,0.061764725,-0.16904162,-0.032289945,-0.34998593,-0.15099593,-0.13881639,0.057319894,0.4394376,-0.11947533,-0.3375068,0.36915633,0.036958784,-0.17314675,-0.41097116,0.104410194
0.5356439,0.80924624,-0.22659814,-0.16533737,0.27747664,-0.22803842,0.015756983,-0.23130734,-0.37039924,0.34663597,0.18521014,-0.24199656,-0.20325324,-0.18912366,0.16441962,0.05756893,-0.08558347,-0.0686253,-0.06584214,-0.21225357,-0.08350698,-0.13625991,-0.11942314,0.16678917,-0.113088325,-0.22401784,0.16112766,-0.32270128,0.027924106,-0.14210242,-0.707742,0.14722429,0.5304233,0.16646418,-0.49612936,-0.28540397,-0.33832538,-0.23125479,-0.6289584,-0.13081676,-0.031320848,-0.39006248,0.002116803,-0.28281286,-0.07001212,-0.5706798,-0.06513764,-0.23043334,-0.2147785,-0.3496047,0.1372568,0.22076246,-0.1963028,0.06842758,-0.035887536,0.04774239,0.19651231,-0.008838341,-0.21090087,-0.13661559,0.26156572,-0.00072173774,-0.07800453,-0.16693316,0.32249364,-0.2166814,-0.58693635,-0.08293304,-0.17675301,0.1626979,-0.16694303,-0.10898622,-0.28461248,-0.38218838,-0.39152917,0.25875813,0.18678123,-0.2824796,-0.33823058,0.099052124,-0.31542283,-0.09009819,-0.29570076,-0.45498365
0.017589446,-0.008923061,-0.2588328,-0.3188044,0.06195356,-0.0752703,0.084088236,-0.28980672,-0.43824297,0.10264791,0.007848347,-0.31581464,-0.2957201,-0.5303293,0.004235396,-0.38984513,0.16343987,-0.077909976,-0.6032364,-0.2728505,0.31715298,-0.20898297,0.36833212,0.29068503,-0.88166255,0.08526203,-0.6636941,-0.06881009,-0.32557,0.18141478,-0.335378,0.36175314,-0.11704106,-0.46886426,-0.23705798,-0.03733523,-0.015220318,0.01209921,-0.16233194,0.04295174,-0.37721488,0.35128728,-0.017933235,-0.21617036,-0.38266978,-0.51181275,-0.50647855,-0.33756152,0.12483708,-0.17688629,-0.27821052,-0.26599002,-0.24279006,0.06329173,-0.10314469,-0.6051004,0.08301292,-0.3244896,-0.15433855,-0.73490715,-0.3787832,-0.06868377,-0.16280028,-0.2064811,-0.6989836,-0.3226385,-0.024359278,-0.20547207,-0.25064757,0.13472821,-0.19293381,0.14386511,0.10378114,-0.08979687,0.16226283,-0.32542098,-0.21847926,-0.33007875,-0.27342805,-0.15624616,0.0857531,-0.07532522,-0.677941,-0.5231211
0.5016932,-0.07527972,0.24963236,-0.3423645,-0.04181999,0.29049557,0.5135848,0.52339035,0.028844744,0.101731084,0.009067632,0.03746468,-0.27542317,0.030757979,-0.21392241,-0.38556567,0.11100092,0.07655839,-0.13140179,-0.052891344,-0.30394933,-0.3502271,0.28902233,0.13735805,0.6446578,0.1173752,0.54145044,0.28494158,0.156411,-0.21414222,-0.0540066,-0.09059829,-0.05080269,-0.5359085,0.06683333,-0.3123203,-0.029482374,0.19112577,0.17491454,-0.63684237,-0.13376273,-0.3845168,0.24361666,-0.21977292,-0.1699555,0.1496316,-0.17756915,-0.031189697,-0.23056734,0.049898997,0.11217368,-0.12465825,0.039608818,-0.5795923,-0.34731287,0.356447,-0.43240133,-0.2169048,-0.3255354,0.14588371,-0.021233115,0.3327054,0.22316667,-0.15743706,-0.30788964,-0.14631271,-0.39648548,-0.113033764,0.34398678,0.04280371,-0.3000077,-0.18728198,-0.019524356,-0.11635879,-0.019405348,-0.16884333,0.092353225,0.2844814,-0.20583428,-0.2876219,-0.13010137,-0.39204603,0.11569632,0.24486028
0.27675503,0.3422774,0.21722291,-0.32756302,-0.15425247,0.21466586,0.059966654,0.027911615,0.20730813,-0.016906789,-0.16738062,-0.017228452,0.07553231,0.2968773,0.20165472,-0.14170234,-0.15214118,-0.20171799,-0.29557115,0.27299875,0.12134167,0.32078144,0.23282856,-0.19676074,-0.0062754154,0.6572111,0.08007256,-0.11097584,0.030060448,-0.50182563,0.3905007,-0.17343464,-0.40074417,0.079027176,-0.3619665,0.32869598,0.3606192,0.13375677,0.09316818,0.17881864,0.34689668,-0.46568888,0.38186744,0.273703,-0.105331995,-0.39111903,-0.105489,-0.22100998,-0.29998767,-0.35167658,-0.69282526,-0.40243772,-0.079062715,0.024966404,-0.10128987,-0.005064845,0.32679322,-0.04334106,-0.3511108,0.25836852,-0.2176693,-0.27003846,-0.32378528,0.15050836,0.0051046126,0.22390133,0.09710029,-0.25700742,0.057744496,0.19818828,-0.48946205,0.37086537,-0.03119867,-0.3268862,-0.17758535,-0.13624798,0.19013974,-0.65334886,0.13726096,0.1703724,-0.09090305,-0.06402946,-0.25564796,-0.021642677
0.41880843,0.41749406,0.17531514,0.58113176,0.72631466,0.2250529,0.22454637,-0.2472129,0.34040073,0.1957487,0.07698116,0.37622905,0.33720374,0.22446752,0.39564133,0.4767148,0.3787932,0.5490882,0.44840154,0.83036965,-0.17265344,0.09442224,0.16379617,0.34211707,0.37235504,0.0556984,0.6648745,0.44867685,0.23655796,0.23016964,-0.1646388,0.2821077,-0.107560724,0.13759501,0.032000985,0.35579878,0.560364,0.5851041,0.5727706,0.46653295,0.6429565,0.6287968,0.4139889,0.26649997,0.24554467,0.64616215,0.4887417,0.45787156,0.7283746,0.05385544,0.43992245,0.43044713,0.13898699,0.619787,0.18314421,0.5636429,0.5261176,-0.26921085,-0.028869946,0.2929784,0.22241521,0.13111256,0.9602847,-0.04810476,0.06369613,0.047025777,-0.0392905,0.12299768,0.6400531,0.666284,0.5854331,0.73689854,-0.030788362,0.2625486,0.5549221,-0.1220571,0.111849055,0.6846376,0.36584312,0.25690624,0.53177553,0.28113163,0.35857767,0.74219704
-0.22239476,0.36501092,0.3872781,0.58825403,-0.16160865,0.017928628,0.23029546,0.48895353,0.1301609,-0.25924185,0.20676795,0.018824788,0.49410382,-0.006911657,-0.061932,-0.21086876,0.02529626,0.12050827,0.5551689,0.39001536,0.022678232,0.6691497,0.22094716,0.11847342,-0.12794492,-0.23760554,-0.006734684,0.3597433,0.26800272,0.18484886,0.49744642,-0.5242859,-0.098065324,-0.097907655,0.2930491,0.079679064,0.14302534,0.030748364,0.9762373,0.20043758,0.040939722,0.02244607,0.26964706,-0.17744447,-0.31681845,0.4223306,0.28735474,0.0055213943,0.011579687,0.41638672,0.5576519,-0.15983082,0.65824944,0.2813023,0.07093497,-0.09081548,-0.16163293,-0.085911736,0.23043837,0.29093924,0.08488065,0.005459762,-0.4715595,0.24981657,-0.03696768,0.017812913,-0.009048073,-0.0900208,0.090806924,0.36695746,-0.25812134,-0.026589261,0.68072265,0.42174527,0.36310676,0.217564,0.43087912,0.091948554,0.089854084,-0.49989432,0.3645715,0.07834317,0.12963237,-0.011334062
0.014356333,0.11477857,0.86531925,0.4537025,0.6720264,0.4416864,0.34858093,0.29570076,0.32188365,0.6149322,0.26018283,0.33767936,0.17753872,-0.014882797,0.15059736,0.110542506,0.21403961,0.24502769,0.25116614,0.50386095,0.6623276,0.10924813,0.31125635,-0.0033161305,0.3618747,0.56462693,1.0142286,0.20267323,0.3714342,-0.0971507,-0.20709333,0.0021689357,0.20128173,0.41677102,0.41836008,0.31146416,0.47729763,0.07604366,0.6968036,-0.20899473,0.050172497,-0.0935007,0.635612,0.42174825,0.3750845,0.33007598,-0.23227704,1.0096167,-0.29988873,0.21867688,-0.32016706,0.22271156,0.6478341,0.41661942,-0.23128188,0.34867775,0.38438493,0.49032444,0.2611287,-0.09846591,0.57728827,0.7193772,0.6215966,0.6011232,0.33255213,0.30649534,0.86304027,0.34674633,0.5673758,0.63409317,0.49677798,0.44595316,0.33205464,0.58112556,-0.19763114,0.33209065,0.2343251,-0.14143847,0.22889315,0.041539054,0.52384347,0.097463384,0.22895771,0.060458835
-0.068178244,-0.32013723,-0.060413104,0.26631868,-0.18890731,-0.1373391,-0.4318576,0.0993138,-0.75649077,-0.5672099,0.04330264,-0.3473148,0.05119311,0.11649759,-0.75489277,-0.2404241,-0.06979133,-0.08808513,0.022605821,0.15745553,-0.27426532,0.024055103,-0.054159135,-0.32794595,-0.015344638,-0.12039863,-0.5342151,-0.11334732,0.25446185,-0.16131599,-0.054859105,-0.2701074,-0.0022231396,-0.17753632,-0.42936018,-0.17734681,0.16692384,-0.23356898,0.11807761,-0.19384831,-0.1931853,0.054601084,-0.29274958,-0.095261395,-0.047018085,-0.24738638,0.1155469,0.0023283735,0.021242535,-0.08614349,-0.15199856,-0.040040202,-0.231908,-0.23118876,-0.06398933,-0.2158613,0.32458618,0.19810192,-0.19077685,-0.80535066,-0.058651846,-0.19333826,0.20704968,-0.018147292,0.1344022,-0.4880013,-0.28436068,-0.14911772,-0.13271655,0.005819625,0.16055226,-0.52738565,-0.585738,0.38271007,-0.04137704,0.41302252,-0.1300374,-0.22533536,-0.008539343,-0.020355096,-0.15974396,0.54662025,-0.24403095,0.038466945
