Region_Level_1,Latitude,Longitude
Kotka-Hamina,60.4674228,26.9450844
Lahti,60.9826014,25.6613764
Tampere,61.4980214,23.7603118
Luoteis-Pirkanmaa,62.00417355,22.95217180487095
Hämeenlinna,60.9948584,24.46654
Pohjois-Satakunta,61.9985954,22.27270225438564
Pori,61.4865542,21.7968951
Rauma,61.1289148,21.5039401
Loimaa,60.8472453,23.0513931
Københavns Kommune,55.65554675,12.60164320937474
Brno-město,49.191596,16.6111292
Varde Kommune,55.66299975,8.509623246870593
Hainaut,50.36192,4.125216975993737
Politischer Bezirk Innsbruck Land,47.2065094,11.3836945900353
Politischer Bezirk Landeck,47.0365162,10.4769904552545
Politischer Bezirk Lienz,46.904632,12.5119297628615
Politischer Bezirk Reutte,47.36123525,10.5456804461981
Politischer Bezirk Bludenz,47.06779075,9.87376938702724
Politischer Bezirk Feldkirch,47.2574118,9.66455456710584
Salzburg Stadt,47.1528498,13.9470899
Politischer Bezirk Kitzbühel,47.4826080499999,12.5067451812489
Politischer Bezirk Dornbirn,47.4165382,9.7330136
Politischer Bezirk Wien (Stadt),48.2028090999999,16.3372540846895
Politischer Bezirk Mattersburg,47.7283688,16.4186436483691
Politischer Bezirk Schwaz,47.28163125,11.8352235214047
Steyr Stadt,48.0396436,14.4085971
Klagenfurt am Wörthersee,46.623943,14.3075976
Liège,50.6450962,5.5733098
Politischer Bezirk Südoststeiermark,46.85967165,15.850364747446
Luxembourg,49.8158683,6.1296751
Namur,50.4665284,4.8661892
Bruxelles (19 communes),50.83879505,4.37530413225618
Anvers,51.2211097,4.3997081
Brabant Flamand,50.8686516,4.788623798462091
Brabant Wallon,50.666245,4.550044083650228
Mladá Boleslav,50.4116187,14.9031301
Praha-západ,50.0557651,14.4356643
Příbram,49.6901444,14.0103663
Rakovník,50.1039674,13.7333385
Děčín,50.7824196,14.2147221
Chomutov,50.4606456,13.4178324
Most,50.5032737,13.636112
Teplice,50.6406644,13.8244461
Politischer Bezirk Imst,47.0792089,10.9377039389677
Politischer Bezirk Weiz,47.2950726,15.5815465934443
Tønder Kommune,55.0628986,8.889496217360037
Politischer Bezirk Neunkirchen,47.6643859499999,15.9680330484762
Politischer Bezirk Oberpullendorf,47.5045159999999,16.494430259985
Politischer Bezirk Oberwart,47.28747665,16.2745189528734
Villach Stadt,46.617997,13.8738398
Politischer Bezirk Klagenfurt Land,46.5821384,14.1508411979112
Politischer Bezirk Sankt Veit an der Glan,46.7672814,14.3576981
Politischer Bezirk Villach Land,46.6367128,13.6790052866387
Politischer Bezirk Wolfsberg,46.8255139,14.8235636698878
Politischer Bezirk Feldkirchen,46.7284183,14.0906473
Politischer Bezirk Amstetten,48.08975505,14.7326325913503
Politischer Bezirk Hollabrunn,48.67036975,16.0706367759323
Politischer Bezirk Horn,48.729963,15.6446671606419
Politischer Bezirk Lilienfeld,47.91778565,15.5675697387875
Politischer Bezirk Melk,48.19266265,15.2096837381348
Politischer Bezirk Mistelbach,48.56451965,16.5344890458629
Politischer Bezirk Scheibbs,47.9275191,15.1623097871582
Politischer Bezirk Murau,47.11958265,14.2255045593288
Politischer Bezirk Tulln,48.3478121499999,15.963384585029
Politischer Bezirk Waidhofen an der Thaya,48.8475066,15.3783421592198
Wels Stadt,48.1563978,14.0246656
Politischer Bezirk Braunau am Inn,48.1326748,13.0626954435789
Politischer Bezirk Gmunden,47.75813765,13.7377275455513
Politischer Bezirk Grieskirchen,48.2796908,13.7734165464191
Politischer Bezirk Linz-Land,48.2008519,14.3172896207028
Politischer Bezirk Perg,48.29053155,14.697463992306
Politischer Bezirk Schärding,48.4182322,13.5646075994857
Politischer Bezirk Urfahr-Umgebung,48.42549355,14.2617607571005
Politischer Bezirk Vöcklabruck,47.9473160999999,13.5504178830178
Politischer Bezirk Deutschlandsberg,46.80610545,15.1878900735101
Politischer Bezirk Graz-Umgebung,47.1097664,15.2803279670059
Politischer Bezirk Leibnitz,46.81618915,15.5397766161564
Zlín,49.226766,17.6667415
Kroměříž,49.2984191,17.3929804
Uherské Hradiště,49.0668171,17.4572483
Silkeborg Kommune,56.18178635,9.608746257423869
Mělník,50.3520785,14.4748281
Hlavní město Praha,50.0874654,14.4212535
Politischer Bezirk Güssing,47.1138355,16.3204194799342
Brno-venkov,49.2435916,16.7130573
Hodonín,48.8563914,17.1234655
Vyškov,49.2778194,16.9994446
Znojmo,48.8554341,16.0489457
České Budějovice,48.9747357,14.474285
Jindřichův Hradec,49.1443265,15.003354
Písek,49.3089887,14.147769
Prachatice,49.0131123,13.9977479
Fredensborg Kommune,55.95090805,12.44176644505074
Helsingør Kommune,56.036132,12.50633428979361
Syddjurs Kommune,56.27146895,10.66294951501489
Ringkøbing-Skjern Kommune,56.01767955,8.547337560871473
Vsetín,49.3389775,17.9961534
Skive Kommune,56.6459244,8.932732160154906
Morsø Kommune,56.82684745,8.729454109363562
Brønderslev Kommune,57.20605905,10.18984229036236
Vesthimmerland Kommune,56.8245918,9.40566694634549
Hjørring Kommune,57.46287185,10.07560588560685
Køge Kommune,55.4517419,12.06683748918806
Slagelse Kommune,55.34789495,11.35112684986956
Lejre Kommune,55.6368113,11.89772976900602
Lolland Kommune,54.7776205,11.26878770198756
Næstved Kommune,55.26205874999999,11.70861048583578
Faaborg-Midtfyn Kommune,55.19639605,10.4279959085546
Nyborg Kommune,55.29866695,10.68047615880288
Odense Kommune,55.38510955,10.3528549062516
Billund Kommune,55.74515965000001,8.991930288159981
Kolín,50.0288894,15.2011571
Kladno,50.1478497,14.1025379
Beroun,49.9640292,14.0733907
Tachov,49.7955449,12.6329861
Pelhřimov,49.4308737,15.2232341
Havlíčkův Brod,49.607079,15.5794883
Jihlava,49.396064,15.5903065
Cheb,50.0793511,12.3703526
Karlovy Vary,50.2306147,12.8699868
Sokolov,50.1815641,12.640035
Hradec Králové,50.2092113,15.8327512
Jičín,50.4370452,15.3516528
Náchod,50.4167811,16.1630918
Rychnov nad Kněžnou,50.1631069,16.274837
Česká Lípa,50.6865452,14.5372974
Jablonec nad Nisou,50.7240899,15.1710958
Semily,50.602249,15.33526
Prostějov,49.4721467,17.1117979
Olomouc,49.5940567,17.251143
Šumperk,49.9655521,16.9705651
Jeseník,50.2296385,17.2046012
Frýdek-Místek,49.685635,18.3483416
Karviná,49.8542719,18.5416556
Opava,49.9389004,17.9024174
Ostrava-město,49.8349139,18.2820084
Pardubice,50.0385812,15.7791356
Svitavy,49.7562053,16.4688995
Ústí nad Orlicí,49.9737603,16.3941695
Domažlice,49.4407069,12.9298338
Klatovy,49.3951183,13.2935954
Plzeň-město,49.7477415,13.3775249
Plzeň-sever,49.8814234,13.28128812312578
Rokycany,48.9617567,21.143825
Koillismaa,65.8680265,29.29532898597865
